step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0000,0.0000,4.6356,4.6399,-1.2755,0.00000,0.00000,0.9233,3.7413,0.5157,nan
100,1.0000,0.6470,0.1229,1.8359,1.2010,29.30996,3.94797,0.8960,7.4241,1.0472,0.5278
200,1.0000,1.0000,0.0222,0.1831,4.8499,57.85235,4.85811,0.8706,11.9084,1.7193,0.0579
300,1.0000,1.0000,0.0107,0.0179,7.1906,87.12608,6.86348,0.8775,12.6942,1.8567,-0.1935
400,1.0000,1.0000,0.0048,0.0054,8.5014,117.33563,9.49041,0.8710,12.3636,1.8714,-0.4462
500,1.0000,1.0000,0.0021,0.0022,9.4207,146.32827,12.09097,0.8535,12.1023,1.9209,-0.5424
600,1.0000,1.0000,0.0009,0.0010,10.3013,174.54142,14.54721,0.8414,11.9983,1.9965,-0.5712
700,1.0000,1.0000,0.0004,0.0004,11.1439,202.41673,16.88657,0.8340,11.9868,2.0654,-0.5867
800,1.0000,1.0000,0.0002,0.0002,11.9714,230.18019,19.13891,0.8274,12.0268,2.1491,-0.5479
900,1.0000,1.0000,0.0001,0.0001,12.8201,257.99619,21.27576,0.8231,12.1263,2.2190,-0.5381
1000,1.0000,1.0000,0.0000,0.0000,13.6330,285.85569,23.27472,0.8201,12.2818,2.3095,-0.5512
1100,1.0000,1.0000,0.0000,0.0000,14.4481,313.73744,25.16737,0.8176,12.4660,2.4014,-0.4918
1200,1.0000,1.0000,0.0000,0.0000,15.2226,341.58883,26.84661,0.8162,12.7237,2.5201,-0.5736
1300,1.0000,1.0000,0.0000,0.0000,15.9601,369.36962,28.53562,0.8163,12.9442,2.5963,-0.5371
1400,1.0000,1.0000,0.0000,0.0000,16.6221,397.13484,30.15986,0.8158,13.1677,2.6741,-0.5515
1500,1.0000,1.0000,0.0000,0.0000,17.1643,424.79133,31.87259,0.8155,13.3278,2.7273,-0.5990
1600,1.0000,1.0000,0.0000,0.0000,17.5591,452.39208,33.63450,0.8152,13.4502,2.7644,-0.5697
1700,1.0000,1.0000,0.0000,0.0000,17.8485,479.99618,35.35535,0.8142,13.5763,2.8011,-0.5877
1800,1.0000,1.0000,0.0000,0.0000,18.0452,507.57917,36.85759,0.8132,13.7714,2.8419,-0.5467
1900,1.0000,1.0000,0.0000,0.0000,18.1657,535.14058,38.22588,0.8124,13.9994,2.8967,-0.5846
2000,1.0000,1.0000,0.0000,0.0000,18.2536,562.52570,39.03842,0.8144,14.4095,2.9205,-0.5368
2100,1.0000,1.0000,0.0000,0.0000,18.3127,589.88945,40.01794,0.8149,14.7406,2.9431,-0.5372
2200,1.0000,1.0000,0.0000,0.0000,18.3523,617.20973,40.97507,0.8146,15.0631,2.9605,-0.5477
2300,1.0000,1.0000,0.0000,0.0000,18.3845,644.51647,42.03795,0.8139,15.3318,2.9458,-0.5548
2400,1.0000,1.0000,0.0000,0.0000,18.4301,671.93126,43.05085,0.8134,15.6079,2.9391,-0.5716
2500,1.0000,1.0000,0.0000,0.0000,18.4590,699.42807,44.11735,0.8132,15.8538,2.9284,-0.5533
