step,behav_acc,probe_x_L0,probe_x_L1,probe_x_L2,probe_x_shuffle,probe_y_L0,probe_y_L1,probe_y_L2,probe_y_shuffle,legality
0,0.2135596126317978,0.3254,0.3624,0.377,0.2398,0.3182,0.3386,0.3328,0.2296,0.811
5,0.2136826366186142,0.3295,0.3558,0.3762,0.2381,0.3166,0.3385,0.3256,0.2308,0.8246
10,0.22217950224876404,0.3373,0.3459,0.3706,0.2318,0.3179,0.3445,0.3404,0.233,0.8406
20,0.3008658289909363,0.4062,0.4016,0.4058,0.2335,0.3816,0.3873,0.3776,0.2273,0.8532
35,0.30860912799835205,0.5551,0.5305,0.5297,0.2318,0.5236,0.5174,0.4937,0.2306,0.8647
50,0.30814775824546814,0.6979,0.7004,0.7124,0.2183,0.6976,0.6974,0.6884,0.2291,0.889
75,0.30909356474876404,0.8149,0.8093,0.8002,0.2174,0.8272,0.8196,0.811,0.2009,0.93
100,0.3107237219810486,0.8666,0.8567,0.8438,0.2013,0.8612,0.8567,0.8422,0.2366,0.9395
150,0.3110005557537079,0.9145,0.9139,0.9082,0.1505,0.9105,0.9114,0.8987,0.2209,0.9648
200,0.3099394142627716,0.9561,0.9608,0.9459,0.1484,0.9548,0.9606,0.9489,0.2099,0.9695
300,0.3132920265197754,0.9701,0.9764,0.9672,0.1215,0.9681,0.9817,0.9703,0.2315,0.9876
400,0.3126153349876404,0.9713,0.9803,0.9728,0.1375,0.9728,0.9824,0.9663,0.2239,0.9917
600,0.311031311750412,0.9824,0.9851,0.9731,0.1696,0.9745,0.9835,0.9645,0.2498,0.991
800,0.3117310404777527,0.9865,0.992,0.9839,0.1507,0.9916,0.9953,0.9823,0.239,0.9908
1100,0.3115234375,0.9911,0.9941,0.9878,0.1242,0.9965,0.9964,0.9887,0.2483,0.9977
1500,0.3100009262561798,0.9998,0.9997,0.995,0.1409,0.997,0.9971,0.9949,0.2181,0.9984
2000,0.3138379752635956,0.9986,0.9994,0.9962,0.139,0.9955,0.9967,0.9905,0.2587,0.9988
3000,0.3117310404777527,0.9983,0.9989,0.9907,0.187,0.9958,0.9971,0.9898,0.2511,0.9991
